sps/test/Co_60_15cm.sps                                                                              5  bps mllgr          {'Cobalt-60 ': 1.0, 'Sodium-22 ': 0.003, 'Caesium-137 ': 0.003, 'Americium-241 ': 0.0}
sps/test/Mn_54_15cm.sps                                                                              5  bps mllgr          {'Cobalt-60 ': 0.883, 'Sodium-22 ': 0.359, 'Caesium-137 ': 0.145, 'Americium-241 ': 0.002}
sps/test/Сs_137_15cm.sps                                                                             5  bps mllgr          {'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.013, 'Sodium-22 ': 0.005, 'Americium-241 ': 0.0}
sps/test/Eu_152_15cm.sps                                                                             5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 0.71, 'Sodium-22 ': 0.421, 'Americium-241 ': 0.0}
sps/test/Am_241_15cm.sps                                                                             5  bps mllgr          {'Americium-241 ': 1, 'Sodium-22 ': 0.092, 'Cobalt-60 ': 0.047, 'Caesium-137 ': 0.038}
sps/test/Na_22_15cm.sps                                                                              5  bps mllgr          {'Sodium-22 ': 1, 'Cobalt-60 ': 0.631, 'Caesium-137 ': 0.012, 'Americium-241 ': 0.0}
sps/test/Co_57_15cm.sps                                                                              5  bps mllgr          {'Americium-241 ': 1, 'Sodium-22 ': 0.317, 'Cobalt-60 ': 0.201, 'Caesium-137 ': 0.1}
sps/test/Ba_133_15cm.sps                                                                             5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.997, 'Cobalt-60 ': 0.211, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/5s/15cm/2022628_172931_Co-60_Cs-137_5s_15cm.sps                                  5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 1.0, 'Sodium-22 ': 0.0, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/5s/15cm/2022628_172937_Co-60_Cs-137_5s_15cm.sps                                  5  bps mllgr          {'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.999, 'Sodium-22 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/5s/15cm/2022628_172943_Co-60_Cs-137_5s_15cm.sps                                  5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 1.0, 'Sodium-22 ': 0.0, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/5s/15cm/2022628_172925_Co-60_Cs-137_5s_15cm.sps                                  5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 1.0, 'Sodium-22 ': 0.0, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/5s/50cm/2022628_17282_Co-60_Cs-137_5s_50cm.sps                                   5  bps mllgr          {'Caesium-137 ': 0.956, 'Cobalt-60 ': 0.087, 'Sodium-22 ': 0.083, 'Americium-241 ': 0.001}
sps/test/Co60_Cs137/5s/50cm/2022628_172813_Co-60_Cs-137_5s_50cm.sps                                  5  bps mllgr          {'Caesium-137 ': 0.886, 'Cobalt-60 ': 0.437, 'Sodium-22 ': 0.069, 'Americium-241 ': 0.001}
sps/test/Co60_Cs137/5s/50cm/2022628_17287_Co-60_Cs-137_5s_50cm.sps                                   5  bps mllgr          {'Caesium-137 ': 0.895, 'Cobalt-60 ': 0.332, 'Sodium-22 ': 0.08, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/5s/50cm/2022628_172756_Co-60_Cs-137_5s_50cm.sps                                  5  bps mllgr          {'Cobalt-60 ': 0.844, 'Caesium-137 ': 0.763, 'Sodium-22 ': 0.03, 'Americium-241 ': 0.001}
sps/test/Co60_Cs137/15s/15cm/2022629_171435_Co-60_Cs-137_15s_15cm.sps                                5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 1.0, 'Sodium-22 ': 0.0, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/15s/15cm/2022629_171511_Co-60_Cs-137_15s_15cm.sps                                5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 1.0, 'Sodium-22 ': 0.0, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/15s/15cm/2022629_171453_Co-60_Cs-137_15s_15cm.sps                                5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 1.0, 'Sodium-22 ': 0.0, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/15s/15cm/2022629_171418_Co-60_Cs-137_15s_15cm.sps                                5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 1.0, 'Sodium-22 ': 0.0, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/15s/50cm/2022629_171851_Co-60_Cs-137_15s_50cm.sps                                5  bps mllgr          {'Caesium-137 ': 0.796, 'Cobalt-60 ': 0.545, 'Sodium-22 ': 0.1, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/15s/50cm/2022629_171834_Co-60_Cs-137_15s_50cm.sps                                5  bps mllgr          {'Caesium-137 ': 0.9, 'Cobalt-60 ': 0.581, 'Sodium-22 ': 0.05, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/15s/50cm/2022629_171818_Co-60_Cs-137_15s_50cm.sps                                5  bps mllgr          {'Caesium-137 ': 0.856, 'Cobalt-60 ': 0.537, 'Sodium-22 ': 0.075, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/15s/50cm/2022629_17197_Co-60_Cs-137_15s_50cm.sps                                 5  bps mllgr          {'Caesium-137 ': 0.85, 'Cobalt-60 ': 0.737, 'Sodium-22 ': 0.037, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/60s/15cm/202275_174046_Cs-137_Co-60_60s_15cm.sps                                 5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 1.0, 'Sodium-22 ': 0.0, 'Americium-241 ': 0.0}
